סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_6,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
2730      ,טייבה                    ,41        ,השרון                    ,41        ,נתניה                    ,0         ,                         ,44869     ,4320      ,11719     ,17978     ,4980      ,3114      ,2758
2742      ,זבארגה )שבט(             ,62        ,באר שבע                  ,62        ,באר שבע                  ,0         ,                         ,18        ,0         ,0         ,2         ,14        ,1         ,1
2800      ,קרית שמונה               ,21        ,צפת                      ,21        ,צפת                      ,0         ,                         ,24244     ,1791      ,4195      ,8793      ,2845      ,2800      ,3820
3000      ,ירושלים                  ,11        ,ירושלים                  ,11        ,ירושלים                  ,0         ,                         ,1013906   ,122340    ,256628    ,363481    ,87645     ,68974     ,114838
3400      ,חברון                    ,77        ,חברון                    ,11        ,ירושלים                  ,0         ,                         ,572       ,79        ,203       ,197       ,34        ,34        ,25
3488      ,כפר עציון                ,76        ,בית לחם                  ,11        ,ירושלים                  ,76        ,גוש עציון                ,881       ,117       ,276       ,294       ,76        ,35        ,83
3555      ,נתיב הגדוד               ,75        ,ירדן )יריחו(             ,23        ,עפולה                    ,75        ,ערבות הירדן              ,226       ,27        ,40        ,97        ,9         ,17        ,36
3556      ,אלמוג                    ,75        ,ירדן )יריחו(             ,11        ,ירושלים                  ,74        ,מגילות ים המלח           ,315       ,35        ,81        ,132       ,33        ,27        ,7
3557      ,קדומים                   ,73        ,טול כרם                  ,47        ,כפר סבא                  ,0         ,                         ,4759      ,609       ,1550      ,1631      ,324       ,232       ,413
3558      ,תומר                     ,75        ,ירדן )יריחו(             ,23        ,עפולה                    ,75        ,ערבות הירדן              ,349       ,46        ,55        ,153       ,6         ,45        ,44
3560      ,אלקנה                    ,73        ,טול כרם                  ,42        ,פתח תקוה                 ,0         ,                         ,3988      ,465       ,983       ,1411      ,316       ,257       ,556
