סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_6,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
3653      ,מעלה עמוס                ,76        ,בית לחם                  ,11        ,ירושלים                  ,76        ,גוש עציון                ,835       ,204       ,262       ,301       ,24        ,28        ,16
3654      ,ברקן                     ,73        ,טול כרם                  ,48        ,אריאל                    ,72        ,שומרון                   ,2061      ,206       ,472       ,746       ,307       ,145       ,185
3655      ,ניל"י                    ,74        ,ראמאללה                  ,43        ,רמלה                     ,73        ,מטה בנימין               ,1855      ,181       ,552       ,646       ,246       ,145       ,85
3656      ,כרמל                     ,77        ,חברון                    ,11        ,ירושלים                  ,78        ,הר חברון                 ,514       ,90        ,160       ,184       ,33        ,37        ,10
3657      ,מעון                     ,77        ,חברון                    ,11        ,ירושלים                  ,78        ,הר חברון                 ,615       ,114       ,207       ,237       ,19        ,35        ,3
3658      ,עטרת                     ,74        ,ראמאללה                  ,11        ,ירושלים                  ,73        ,מטה בנימין               ,686       ,107       ,279       ,219       ,36        ,40        ,5
3659      ,פסגות                    ,74        ,ראמאללה                  ,11        ,ירושלים                  ,73        ,מטה בנימין               ,2097      ,370       ,728       ,720       ,113       ,88        ,78
3660      ,עמנואל                   ,73        ,טול כרם                  ,48        ,אריאל                    ,0         ,                         ,4474      ,887       ,1304      ,1561      ,237       ,263       ,222
3709      ,מבוא חורון               ,74        ,ראמאללה                  ,43        ,רמלה                     ,73        ,מטה בנימין               ,2604      ,379       ,1103      ,827       ,167       ,50        ,78
3710      ,ברכה                     ,72        ,שכם                      ,48        ,אריאל                    ,72        ,שומרון                   ,2780      ,568       ,1040      ,951       ,96        ,61        ,64
3712      ,ענב                      ,73        ,טול כרם                  ,41        ,נתניה                    ,72        ,שומרון                   ,989       ,179       ,301       ,351       ,46        ,54        ,58
